time,x,y,z,psi,psi_cmd,speed,target_speed,cmd_vx,cmd_vz,cmd_turn,target_yaw_rate,yaw_rate,object_count,min_global_mm,min_front_mm,min_left_mm,min_right_mm,min_up_mm,min_down_mm,clearance,collision,tof00,tof01,tof02,tof03,tof04,tof05,tof06,tof07,tof10,tof11,tof12,tof13,tof14,tof15,tof16,tof17,tof20,tof21,tof22,tof23,tof24,tof25,tof26,tof27,tof30,tof31,tof32,tof33,tof34,tof35,tof36,tof37,tof40,tof41,tof42,tof43,tof44,tof45,tof46,tof47,tof50,tof51,tof52,tof53,tof54,tof55,tof56,tof57,tof60,tof61,tof62,tof63,tof64,tof65,tof66,tof67,tof70,tof71,tof72,tof73,tof74,tof75,tof76,tof77
0.000000,0.000000,0.000000,0.750000,0.000000,0.000000,0.000000,0.350000,1.000000,0.000000,0.000000,0.000000,0.000000,1,2024,65535,2024,65535,65535,65535,0.825000,0,8190,2190,2147,8190,8190,8190,8190,8190,2190,2125,2084,8190,8190,8190,8190,8190,2147,2084,2044,8190,8190,8190,8190,8190,2127,2064,2024,8190,8190,8190,8190,8190,2127,2064,2024,8190,8190,8190,8190,8190,2147,2084,2044,8190,8190,8190,8190,8190,2190,2125,2084,8190,8190,8190,8190,8190,8190,2190,2147,8190,8190,8190,8190,8190
0.020000,0.000000,0.000480,0.750000,0.000000,0.000000,0.024000,0.350000,1.000000,0.000000,0.000000,0.000000,0.000000,1,2024,65535,2024,65535,65535,65535,0.825000,0,8190,2189,2147,8190,8190,8190,8190,8190,2189,2125,2084,8190,8190,8190,8190,8190,2147,2084,2044,8190,8190,8190,8190,8190,2126,2064,2024,8190,8190,8190,8190,8190,2126,2064,2024,8190,8190,8190,8190,8190,2147,2084,2044,8190,8190,8190,8190,8190,2189,2125,2084,8190,8190,8190,8190,8190,8190,2189,2147,8190,8190,8190,8190,8190
0.040000,0.000000,0.001302,0.750000,0.000000,0.000000,0.041097,0.350000,1.000000,0.000000,0.000000,0.000000,0.000000,1,2023,65535,2023,65535,65535,65535,0.825000,0,8190,2188,2146,8190,8190,8190,8190,8190,2188,2124,2083,8190,8190,8190,8190,8190,2146,2083,2043,8190,8190,8190,8190,8190,2125,2063,2023,8190,8190,8190,8190,8190,2125,2063,2023,8190,8190,8190,8190,8190,2146,2083,2043,8190,8190,8190,8190,8190,2188,2124,2083,8190,8190,8190,8190,8190,8190,2188,2146,8190,8190,8190,8190,8190
0.060000,0.000000,0.002454,0.750000,0.000000,0.000000,0.057599,0.350000,1.000000,0.000000,0.000000,0.000000,0.000000,1,2022,65535,2022,65535,65535,65535,0.825000,0,8190,2187,2145,8190,8190,8190,8190,8190,2187,2123,2082,8190,8190,8190,8190,8190,2145,2082,2041,8190,8190,8190,8190,8190,2124,2062,2022,8190,8190,8190,8190,8190,2124,2062,2022,8190,8190,8190,8190,8190,2145,2082,2041,8190,8190,8190,8190,8190,2187,2123,2082,8190,8190,8190,8190,8190,8190,2187,2145,8190,8190,8190,8190,8190
0.080000,0.000000,0.003918,0.750000,0.000000,0.000000,0.073225,0.350000,1.000000,0.000000,0.000000,0.000000,0.000000,1,2020,65535,2020,65535,65535,65535,0.825000,0,8190,2186,2143,8190,8190,8190,8190,8190,2186,2121,2080,8190,8190,8190,8190,8190,2143,2080,2040,8190,8190,8190,8190,8190,2123,2060,2020,8190,8190,8190,8190,8190,2123,2060,2020,8190,8190,8190,8190,8190,2143,2080,2040,8190,8190,8190,8190,8190,2186,2121,2080,8190,8190,8190,8190,8190,8190,2186,2143,8190,8190,8190,8190,8190
0.100000,0.000000,0.005679,0.750000,0.000000,0.000000,0.088037,0.350000,1.000000,0.000000,0.000000,0.000000,0.000000,1,2019,65535,2019,65535,65535,65535,0.825000,0,8190,2184,2141,8190,8190,8190,8190,8190,2184,2119,2078,8190,8190,8190,8190,8190,2141,2078,2038,8190,8190,8190,8190,8190,2121,2058,2019,8190,8190,8190,8190,8190,2121,2058,2019,8190,8190,8190,8190,8190,2141,2078,2038,8190,8190,8190,8190,8190,2184,2119,2078,8190,8190,8190,8190,8190,8190,2184,2141,8190,8190,8190,8190,8190
0.120000,0.000000,0.007721,0.750000,0.000000,0.000000,0.102075,0.350000,1.000000,0.000000,0.000000,0.000000,0.000000,1,2017,65535,2017,65535,65535,65535,0.825000,0,8190,2181,2139,8190,8190,8190,8190,8190,2181,2117,2076,8190,8190,8190,8190,8190,2139,2076,2036,8190,8190,8190,8190,8190,2119,2056,2017,8190,8190,8190,8190,8190,2119,2056,2017,8190,8190,8190,8190,8190,2139,2076,2036,8190,8190,8190,8190,8190,2181,2117,2076,8190,8190,8190,8190,8190,8190,2181,2139,8190,8190,8190,8190,8190
0.140000,0.000000,0.010028,0.750000,0.000000,0.000000,0.115381,0.350000,1.000000,0.000000,0.000000,0.000000,0.000000,1,2014,65535,2014,65535,65535,65535,0.825000,0,8190,2179,2137,8190,8190,8190,8190,8190,2179,2115,2074,8190,8190,8190,8190,8190,2137,2074,2034,8190,8190,8190,8190,8190,2116,2054,2014,8190,8190,8190,8190,8190,2116,2054,2014,8190,8190,8190,8190,8190,2137,2074,2034,8190,8190,8190,8190,8190,2179,2115,2074,8190,8190,8190,8190,8190,8190,2179,2137,8190,8190,8190,8190,8190
0.160000,0.000000,0.012588,0.750000,0.000000,0.000000,0.127992,0.350000,1.000000,0.000000,0.000000,0.000000,0.000000,1,2012,65535,2012,65535,65535,65535,0.825000,0,8190,2176,2134,8190,8190,8190,8190,8190,2176,2112,2071,8190,8190,8190,8190,8190,2134,2071,2031,8190,8190,8190,8190,8190,2113,2051,2012,8190,8190,8190,8190,8190,2113,2051,2012,8190,8190,8190,8190,8190,2134,2071,2031,8190,8190,8190,8190,8190,2176,2112,2071,8190,8190,8190,8190,8190,8190,2176,2134,8190,8190,8190,8190,8190
0.180000,0.000000,0.015387,0.750000,0.000000,0.000000,0.139945,0.350000,1.000000,0.000000,0.000000,0.000000,0.000000,1,2009,65535,2009,65535,65535,65535,0.825000,0,8190,2173,2131,8190,8190,8190,8190,8190,2173,2109,2068,8190,8190,8190,8190,8190,2131,2068,2028,8190,8190,8190,8190,8190,2110,2048,2009,8190,8190,8190,8190,8190,2110,2048,2009,8190,8190,8190,8190,8190,2131,2068,2028,8190,8190,8190,8190,8190,2173,2109,2068,8190,8190,8190,8190,8190,8190,2173,2131,8190,8190,8190,8190,8190
0.200000,0.000000,0.018413,0.750000,0.000000,0.000000,0.151274,0.350000,1.000000,0.000000,0.000000,0.000000,0.000000,1,2006,65535,2006,65535,65535,65535,0.825000,0,8190,2170,2128,8190,8190,8190,8190,8190,2170,2106,2065,8190,8190,8190,8190,8190,2128,2065,2025,8190,8190,8190,8190,8190,2107,2045,2006,8190,8190,8190,8190,8190,2107,2045,2006,8190,8190,8190,8190,8190,2128,2065,2025,8190,8190,8190,8190,8190,2170,2106,2065,8190,8190,8190,8190,8190,8190,2170,2128,8190,8190,8190,8190,8190
0.220000,0.000000,0.021653,0.750000,0.000000,0.000000,0.162012,0.350000,1.000000,0.000000,0.000000,0.000000,0.000000,1,2002,65535,2002,65535,65535,65535,0.825000,0,8190,2166,2124,8190,8190,8190,8190,8190,2166,2102,2062,8190,8190,8190,8190,8190,2124,2062,2022,8190,8190,8190,8190,8190,2104,2042,2002,8190,8190,8190,8190,8190,2104,2042,2002,8190,8190,8190,8190,8190,2124,2062,2022,8190,8190,8190,8190,8190,2166,2102,2062,8190,8190,8190,8190,8190,8190,2166,2124,8190,8190,8190,8190,8190
0.240000,0.000000,0.025097,0.750000,0.000000,0.000000,0.172190,0.350000,1.000000,0.000000,0.000000,0.000000,0.000000,1,1999,65535,1999,65535,65535,65535,0.825000,0,8190,2162,2120,8190,8190,8190,8190,8190,2162,2099,2058,8190,8190,8190,8190,8190,2120,2058,2018,8190,8190,8190,8190,8190,2100,2038,1999,8190,8190,8190,8190,8190,2100,2038,1999,8190,8190,8190,8190,8190,2120,2058,2018,8190,8190,8190,8190,8190,2162,2099,2058,8190,8190,8190,8190,8190,8190,2162,2120,8190,8190,8190,8190,8190
0.260000,0.000000,0.028733,0.750000,0.000000,0.000000,0.181836,0.350000,1.000000,0.000000,0.000000,0.000000,0.000000,1,1995,65535,1995,65535,65535,65535,0.825000,0,2224,2158,2117,8190,8190,8190,8190,8190,2158,2095,2054,8190,8190,8190,8190,8190,2117,2054,2015,8190,8190,8190,8190,8190,2096,2035,1995,8190,8190,8190,8190,8190,2096,2035,1995,8190,8190,8190,8190,8190,2117,2054,2015,8190,8190,8190,8190,8190,2158,2095,2054,8190,8190,8190,8190,8190,2224,2158,2117,8190,8190,8190,8190,8190
0.280000,0.000000,0.032553,0.750000,0.000000,0.000000,0.190979,0.350000,1.000000,0.000000,0.000000,0.000000,0.000000,1,1991,65535,1991,65535,65535,65535,0.825000,0,2219,2154,2112,8190,8190,8190,8190,8190,2154,2091,2050,8190,8190,8190,8190,8190,2112,2050,2011,8190,8190,8190,8190,8190,2092,2031,1991,8190,8190,8190,8190,8190,2092,2031,1991,8190,8190,8190,8190,8190,2112,2050,2011,8190,8190,8190,8190,8190,2154,2091,2050,8190,8190,8190,8190,8190,2219,2154,2112,8190,8190,8190,8190,8190
0.300000,0.000000,0.036546,0.750000,0.000000,0.000000,0.199644,0.350000,1.000000,0.000000,0.000000,0.000000,0.000000,1,1987,65535,1987,65535,65535,65535,0.825000,0,2215,2150,2108,8190,8190,8190,8190,8190,2150,2087,2046,8190,8190,8190,8190,8190,2108,2046,2007,8190,8190,8190,8190,8190,2088,2027,1987,8190,8190,8190,8190,8190,2088,2027,1987,8190,8190,8190,8190,8190,2108,2046,2007,8190,8190,8190,8190,8190,2150,2087,2046,8190,8190,8190,8190,8190,2215,2150,2108,8190,8190,8190,8190,8190
0.320000,0.000000,0.040703,0.750000,0.000000,0.000000,0.207857,0.350000,1.000000,0.000000,0.000000,0.000000,0.000000,1,1983,65535,1983,65535,65535,65535,0.825000,0,2210,2145,2104,8190,8190,8190,8190,8190,2145,2082,2042,8190,8190,8190,8190,8190,2104,2042,2002,8190,8190,8190,8190,8190,2083,2022,1983,8190,8190,8190,8190,8190,2083,2022,1983,8190,8190,8190,8190,8190,2104,2042,2002,8190,8190,8190,8190,8190,2145,2082,2042,8190,8190,8190,8190,8190,2210,2145,2104,8190,8190,8190,8190,8190
0.340000,0.000000,0.045016,0.750000,0.000000,0.000000,0.215641,0.350000,1.000000,0.000000,0.000000,0.000000,0.000000,1,1979,65535,1979,65535,65535,65535,0.825000,0,2205,2141,2099,8190,8190,8190,8190,8190,2141,2078,2037,8190,8190,8190,8190,8190,2099,2037,1998,8190,8190,8190,8190,8190,2079,2018,1979,8190,8190,8190,8190,8190,2079,2018,1979,8190,8190,8190,8190,8190,2099,2037,1998,8190,8190,8190,8190,8190,2141,2078,2037,8190,8190,8190,8190,8190,2205,2141,2099,8190,8190,8190,8190,8190
0.360000,0.000000,0.049476,0.750000,0.000000,0.000000,0.223019,0.350000,1.000000,0.000000,0.000000,0.000000,0.000000,1,1974,65535,1974,65535,65535,65535,0.825000,0,2200,2136,2094,8190,8190,8190,8190,8190,2136,2073,2033,8190,8190,8190,8190,8190,2094,2033,1993,8190,8190,8190,8190,8190,2074,2013,1974,8190,8190,8190,8190,8190,2074,2013,1974,8190,8190,8190,8190,8190,2094,2033,1993,8190,8190,8190,8190,8190,2136,2073,2033,8190,8190,8190,8190,8190,2200,2136,2094,8190,8190,8190,8190,8190
0.380000,0.000000,0.054076,0.750000,0.000000,0.000000,0.230012,0.350000,1.000000,0.000000,0.000000,0.000000,0.000000,1,1970,65535,1970,65535,65535,65535,0.825000,0,2195,2131,2089,8190,8190,8190,8190,8190,2131,2068,2028,8190,8190,8190,8190,8190,2089,2028,1989,8190,8190,8190,8190,8190,2069,2008,1970,8190,8190,8190,8190,8190,2069,2008,1970,8190,8190,8190,8190,8190,2089,2028,1989,8190,8190,8190,8190,8190,2131,2068,2028,8190,8190,8190,8190,8190,2195,2131,2089,8190,8190,8190,8190,8190
